Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
1,5,327940,30,120,603385,3151155,14
2,14,316512,49,700,351463,3983294,2
1,1,32991,6,36,122119,369761,2
2,22,762487,11,583,912868,2747778,14
3,32,560522,96,394,965066,2274922,10
3,32,613354,96,426,1050346,656010,2
1,1,31318,9,35,65928,404527,4
3,39,776386,26,910,1565343,3525119,10
1,5,176545,20,150,464865,4098845,4
1,5,161190,35,55,848220,4133990,14
2,11,373472,5,148,376926,1318311,2
3,35,292973,70,583,760748,992623,15
3,34,786499,102,317,1214060,3822733,13
3,36,764436,60,852,1806396,1641852,9
2,19,576821,76,323,1186645,3584397,4
2,21,225130,84,966,1219407,7173600,14
2,17,583499,85,527,709733,6684859,7
2,7,167538,35,224,613917,1583288,14
2,7,238444,28,108,609567,1048628,12
3,26,516490,86,520,1210993,979671,7
3,40,768946,120,1240,1710173,1775426,12
3,34,329754,56,306,739885,3228073,12
2,7,147514,17,224,448315,3459337,15
2,18,390708,54,54,1476936,5688279,12
2,22,687335,22,484,1171115,8343500,13
1,1,33878,7,32,83764,106484,12
1,6,141702,54,504,594768,3050028,14
2,22,325908,110,726,832282,2336136,5
2,16,246192,16,776,1562752,663856,2
3,34,473858,68,952,1724944,6467072,8
2,23,483805,103,793,766084,3618981,2
2,11,131235,5,302,522830,1169877,3
2,9,223114,13,310,783985,3902629,4
2,12,155088,42,486,745188,2069070,11
3,28,427709,9,130,1195618,2371469,1
3,32,759904,10,778,1536341,664394,4
2,24,878004,72,564,1896396,7683180,1
2,13,183677,45,578,503438,5652829,8
1,1,54841,10,51,164160,837800,6
2,13,411190,26,26,525837,2499919,3
2,21,408093,105,514,1466566,6617509,14
2,9,229860,13,423,644031,1776060,2
3,35,400388,23,58,1856516,6972093,6
3,33,614603,55,957,1974610,3555519,6
2,20,554260,50,990,1870820,7184110,6
3,33,273526,11,957,2125244,2199021,9
2,8,83424,32,124,208440,2419384,4
3,26,322036,69,8,886920,2633808,11
3,30,626290,90,90,1440010,1348710,4
3,29,340605,38,589,1122261,5038798,12
3,32,798101,64,1066,712981,7590570,9
2,23,772926,80,402,1338818,1881308,12
3,35,732048,11,700,1208911,1020786,5
3,38,281402,101,443,1719538,11664936,14
1,5,313470,50,230,356350,1435375,15
3,31,317057,31,113,1217649,2947180,8
2,8,270236,28,256,414924,977184,6
3,26,647044,26,260,838474,7463707,10
2,20,345200,70,820,1593560,6661130,11
1,5,229205,10,260,864235,4024490,10
3,27,243783,72,171,531792,1249542,4
2,14,310135,49,406,893837,5438202,11
2,12,124944,54,186,973722,4242888,12
2,18,253332,90,63,745956,8645436,10
2,20,584430,20,390,1777290,7560120,15
3,26,332912,8,736,1587854,3754512,10
3,28,342206,93,177,1785130,5702517,1
2,24,580776,108,312,1103568,3173580,6
2,24,740052,48,1056,1773624,8522376,2
1,3,94479,12,75,507882,2687109,8
2,23,801607,69,943,2062272,1963590,15
2,18,624636,54,621,739098,7007346,14
1,2,57138,10,54,331124,600254,5
1,2,148374,6,176,221918,1589890,15
3,29,593804,87,502,1806226,5021108,8
2,19,218110,95,133,1576829,4147624,2
3,35,500115,23,525,1983251,9060263,2
3,34,235382,11,1065,1915922,10701828,2
2,12,421746,12,216,1157358,2065620,11
1,3,127875,18,243,311649,165708,12
2,9,111946,22,364,489726,2005996,5
2,22,821634,66,253,1141371,6243204,1
3,37,538362,98,493,785522,5571373,8
2,18,455463,9,585,1128978,6417864,12
2,16,235128,24,288,405832,1069104,3
2,20,434460,70,790,1837370,8404610,3
1,3,104859,12,285,361632,1901181,9
2,14,269115,49,210,1125768,3463565,6
3,38,761013,25,595,2223038,8259350,2
3,29,716773,67,667,1038180,8680579,14
2,23,434309,92,966,827321,11483796,5
3,32,466272,96,501,1520512,4910965,11
3,37,283925,61,1184,2270024,7526786,9
1,1,25984,8,79,185333,472240,2
2,7,70773,35,59,651651,3368029,4
1,5,317365,25,225,272985,4555100,12
2,21,276402,63,766,1460256,2166948,5
2,12,209304,60,54,757164,944640,10
2,8,119668,32,380,410140,3793608,6
2,7,252336,7,21,415513,1323297,14
1,6,388068,36,108,595854,2700024,14
1,3,148617,18,240,556353,497352,8
2,22,731467,11,1078,1541936,4094706,7
3,29,256659,38,29,1755447,5019822,9
2,15,424230,15,30,1346970,421192,9
1,4,117256,32,288,447168,2987532,14
3,30,454370,70,140,672120,4809970,1
1,5,268250,45,290,428845,1059795,6
2,17,312596,34,297,1562691,6334871,5
2,13,342231,13,585,1269612,4017598,15
3,34,715076,90,340,842928,7425418,13
1,6,304212,54,450,657774,362904,7
2,17,286645,68,578,690225,7037005,2
2,13,326384,6,292,349329,4683328,11
1,6,427860,18,258,503154,3746214,10
2,17,617363,25,663,593478,6374864,12
2,19,260186,19,294,1227761,989377,14
2,12,315630,30,174,484224,5148270,14
2,22,436601,33,297,1939223,3032601,15
2,22,484396,11,781,1473439,4877972,15
1,6,263544,54,270,955710,2539998,5
3,32,448448,21,480,1680042,6216832,13
3,37,485637,49,1134,1335305,2751110,1
3,29,302431,67,483,608642,8526879,15
2,23,539488,69,989,1983715,11030294,12
3,36,380604,48,204,2039904,3498648,3
2,15,389197,15,37,1383817,6520860,10
3,38,750398,25,772,1574770,3096658,3
2,19,473166,38,589,751317,6621671,7
2,10,207155,15,435,350435,4775340,13
3,33,345862,77,264,1237687,3050531,9
2,13,414947,65,617,1190007,1876680,3
2,21,349639,42,945,1287919,2799237,12
3,30,362080,90,1000,1165300,7365130,3
2,7,161010,10,315,527796,3080409,6
2,19,510625,85,85,1451315,5366322,3
3,26,501020,69,251,1175338,2174631,3
3,25,511925,33,108,729566,818591,1
3,26,285012,26,364,1045018,5644782,7
3,31,221608,20,971,1266505,3683358,15
3,36,532392,12,1176,1165200,6844236,2
3,25,278375,83,200,1342375,1115516,4
2,23,430709,11,621,2192969,8882554,11
2,17,395224,17,552,1386069,1291583,14
3,25,173891,16,175,1373358,2775683,5
1,4,238400,4,316,313572,3463084,7
2,23,483690,69,862,1749782,6992057,8
2,17,362822,59,595,482358,5697975,11
3,33,545545,99,77,731632,2931929,7
1,2,119372,14,162,156412,751874,9
1,1,74987,2,10,110667,343048,10
3,28,532849,84,746,1571276,6452805,15
2,15,241830,75,495,1340550,3743242,2
1,5,288220,50,260,861885,1669615,11
2,17,400919,85,374,1377442,4086281,1
2,10,241520,50,435,626845,396700,14
2,19,541044,19,323,1722017,3821413,12
2,7,96313,14,217,544915,3284802,14
2,11,153835,44,319,310205,1528939,3
2,18,648270,45,855,512415,2983770,14
3,37,539336,98,444,1418543,9254279,8
3,37,724534,98,690,1730107,1252400,2
3,32,246538,10,981,908266,2462016,6
3,38,489060,25,734,766574,9104331,1
1,1,63598,5,53,125269,198555,5
3,39,781365,91,611,1250197,3582826,3
3,37,456049,49,1159,1831623,3536484,9
1,1,33004,1,55,180061,935091,9
3,32,412096,21,693,2092458,2606858,5
3,37,557183,123,370,1355458,1934939,12
2,7,229390,17,133,603890,711098,13
2,15,549202,7,217,663202,3380010,13
2,10,217925,40,230,888560,2243855,5
3,37,837704,61,86,2187292,3979362,13
3,36,808092,84,960,868308,6703536,3
3,26,342229,34,832,575995,8577963,10
3,34,806514,90,612,1591336,5292032,11
2,9,324967,40,306,574222,3305574,11
2,20,683430,30,90,1704960,6031590,11
2,9,230332,45,49,820143,3419626,11
2,20,340830,90,340,1144410,1862620,6
3,26,516594,52,710,1523201,1063235,12
3,35,634351,58,863,1709190,9010096,3
3,25,455275,83,16,460241,1289016,9
2,19,378033,28,712,1131735,2677784,3
3,40,409053,80,160,830986,7945160,14
3,29,633804,58,686,1474543,5067924,3
2,13,387543,32,370,551388,6257166,7
3,33,795817,88,231,1253461,9884721,14
2,11,137417,5,544,788667,2304401,12
3,32,687861,85,693,1530581,7542944,3
2,15,229162,60,82,880590,3750232,5
1,2,93564,14,62,146100,674826,9
3,25,295941,83,508,999708,3817666,14
2,23,616848,80,23,2019664,8974473,6
2,16,279440,8,568,807016,815584,15
2,16,263272,8,744,658592,3065768,3
3,25,485666,58,575,1085475,2440700,2
3,32,656426,21,1034,1509877,8648096,9
2,12,372750,60,270,953706,4679688,10
3,32,747317,85,586,1731712,885749,5
2,8,211380,20,272,443440,3727080,15
3,40,619120,93,266,1247053,12959933,8
2,20,492430,30,710,1104560,6085700,13
2,17,269050,25,459,1052555,6640548,5
2,9,119925,18,306,886495,3724771,3
2,23,385089,115,207,608672,11361724,7
2,24,321984,84,1032,1317984,6100164,7
3,32,317920,64,586,1985824,9384437,4
1,1,38501,3,90,134865,626623,15
3,26,267713,17,364,712703,2982312,13
3,39,973648,130,234,998075,8090381,8
2,18,569106,81,126,727848,8896815,4
1,2,109254,10,32,380808,356314,12
3,32,478090,85,224,1893056,9644992,15
3,29,284306,29,618,1474543,3183446,9
1,5,290545,40,445,613535,1199385,4
2,13,389018,39,195,428038,2559121,9
2,24,394236,96,1020,2045904,9210288,1
3,39,963339,52,741,979602,4949503,3
2,12,189708,54,162,479346,422394,2
2,19,427291,85,684,1197845,5676962,2
1,3,171075,12,210,319017,1690551,4
1,2,116868,12,188,327252,1851646,2
3,33,429275,99,880,741950,1989592,8
1,4,217224,20,316,314288,2450180,6
1,3,149997,15,42,294663,2171367,9
2,20,637940,40,280,1547360,668110,10
3,40,718586,26,506,2184813,13299693,12
2,9,169735,45,162,758403,1776411,5
3,30,606810,70,860,1162040,5052970,8
3,30,465030,70,610,1384130,5479580,8
3,28,413401,46,56,1548185,9286890,14
2,18,393984,18,468,1150128,2810844,8
2,7,93180,14,77,490350,982842,7
3,31,703514,51,372,1447917,9425281,2
3,25,212975,75,366,1292191,3978666,9
2,13,453186,32,78,993148,5375058,1
3,34,486030,68,1110,597017,10131002,7
2,13,328549,32,273,569276,5919693,6
2,20,205750,70,40,939460,3441260,5
2,10,321495,5,470,523425,1059175,11
2,22,629541,99,825,693924,4405357,2
2,20,459670,50,450,566140,7192030,3
2,15,241725,52,472,1192050,3338662,7
1,5,220960,30,500,459850,849550,2
2,8,106068,16,296,517848,1798624,2
1,3,100335,3,51,425409,2947626,13
3,33,490897,99,297,735779,6612496,4
2,24,429996,12,576,1729812,6111036,8
2,19,306859,47,513,1177544,7063554,7
2,11,195178,49,291,413308,452452,7
1,1,34882,10,3,62801,469054,12
1,2,138356,16,64,154518,599836,12
3,35,753141,58,1050,1667528,4865560,7
3,27,522423,54,558,1421343,6047919,6
3,30,303070,70,50,798350,8524680,10
2,11,320545,27,214,375375,4210761,6
2,22,355905,99,429,672716,10428968,15
3,28,512026,84,774,1392990,3572025,6
2,20,267900,10,310,1203850,2799250,8
3,25,477991,16,491,460858,4151783,10
3,38,435657,38,570,1025810,9631049,14
2,11,367702,27,88,886077,1127302,7
1,3,168723,18,105,332793,478929,12
3,30,275510,40,340,926660,6262010,1
3,33,271106,55,198,810249,2187625,2
2,17,188666,85,51,850884,6823587,3
3,37,821696,61,1184,1110777,2076304,8
2,13,141771,65,247,958854,4521036,5
3,26,458007,52,95,1027528,7483086,5
1,4,166488,4,376,725392,1693648,1
3,25,435925,25,58,1592991,7222775,11
2,20,533890,70,390,774590,5131790,4
3,34,529334,56,56,669664,1053660,8
3,33,386045,77,220,1155198,10797952,2
2,11,309358,49,418,479385,2912096,13
2,15,458700,22,630,1257045,2852242,13
3,34,548193,90,408,1714200,10916561,8
3,34,433182,113,1008,1660888,8510234,11
2,23,429904,57,782,620965,6163206,10
1,1,30113,1,66,86995,600470,7
3,28,617932,65,756,912482,4819957,4
1,2,63038,2,66,241552,641562,2
3,27,241263,18,594,845379,5359626,14
3,27,249111,9,18,532863,5714460,2
1,6,403188,60,468,443730,341862,13
2,14,238910,21,280,495684,1935948,13
3,35,754938,11,280,1223355,6281263,14
3,26,506428,69,650,1193374,5901098,7
2,24,707268,108,816,975900,4837716,1
2,7,95928,17,115,653548,2713529,15
3,30,444540,90,170,1702100,3400730,15
1,6,231726,48,78,714192,1910052,10
2,16,394368,80,408,854536,5565608,1
1,6,346392,54,198,899556,906036,3
3,29,414429,77,560,1696654,2531303,2
1,3,169650,30,192,535449,1262115,9
1,2,81794,20,96,293910,347876,8
3,30,514140,40,150,873560,3849220,8
3,32,428373,32,650,642304,1316544,3
2,22,391479,33,363,712030,7259494,10
3,31,664598,93,496,1346412,6267022,7
2,9,254758,22,171,782091,3869568,1
3,39,742638,78,338,1868373,2234648,5
3,32,270677,85,458,931605,4150432,7
3,35,646718,93,723,1786131,11006053,2
2,24,331224,48,156,2346672,3068904,14
2,24,657252,120,804,2072412,4787736,2
3,34,522716,56,1065,2091419,5755112,1
1,2,64368,2,150,360852,465406,7
3,31,646412,93,72,839252,3250019,14
3,39,936962,117,1053,2577510,10715653,5
1,5,310850,30,55,455195,1259315,1
3,27,355212,81,225,1518876,1316808,9
3,34,725639,34,1054,1150458,6829625,7
2,23,544835,115,207,1574154,2723349,10
3,38,415884,101,1165,1874033,4052763,14
3,29,504097,96,589,934032,1330056,14
3,30,579870,90,70,843500,516400,13
2,16,349768,64,376,1066936,7162800,13
1,5,345300,50,265,287675,3031800,9
2,9,274446,4,423,605295,2891875,8
2,12,370044,42,342,560268,3074928,7
2,8,107248,40,344,365472,1039268,5
2,10,118405,40,195,409730,1819465,5
1,6,285858,54,216,382542,1151346,15
3,25,529491,16,341,757525,3597675,14
2,24,802248,36,228,2101752,10035456,15
2,18,576972,18,144,1179819,2459115,6
3,25,509341,75,400,1424075,4160266,10
2,10,338030,35,340,831895,2558060,11
3,30,254420,10,980,1957770,1255360,12
2,23,378580,11,517,1572142,1513296,12
3,31,252226,72,568,1249145,4181228,5
3,34,284308,90,634,2130700,5343145,6
2,20,342040,20,540,516510,1229650,11
2,9,178650,27,162,234562,445819,6
3,29,242101,87,754,1275410,4599777,3
1,4,231720,36,304,579636,2936340,15
1,6,219516,60,558,530502,381984,4
2,7,188279,14,14,205072,349832,7
3,40,752520,13,1013,2011786,3449813,8
2,9,265324,31,189,610398,2175421,4
2,14,503650,7,399,445753,5883346,13
3,35,400061,70,455,1251040,6881408,13
3,39,741520,65,468,2314507,6389214,14
2,12,242130,6,54,934374,5578776,6
3,32,475317,21,693,1890752,2015936,10
3,38,303848,126,886,770678,5393796,15
2,17,442782,8,518,857148,1775437,13
3,27,552906,45,153,1441377,8161767,11
3,28,682220,28,308,1717744,8076105,5
1,6,144678,48,54,1073592,4109982,11
2,8,212368,36,216,367580,2062176,12
3,28,197017,84,924,1492670,6056932,12
2,14,350665,70,231,1389388,3925180,5
3,31,505114,62,702,1025676,1009659,10
1,1,59185,9,96,106354,533369,13
2,15,426382,75,697,747690,4993305,13
3,30,544450,30,460,1370530,3353590,4
2,11,265463,44,77,548108,1499355,10
3,31,542190,20,733,1819999,8969767,4
1,4,101116,4,368,746836,2207804,10
3,36,334884,60,756,2144856,1895148,9
3,39,481546,78,702,1184053,8347664,13
2,13,422220,32,6,1094541,5621174,7
2,13,418860,19,84,1035112,3722881,14
2,17,415888,51,841,856553,3547917,10
2,16,381624,40,464,1363976,2047928,2
3,30,569280,40,190,1500520,9133480,15
2,18,253512,27,684,1257939,900270,10
2,8,150312,8,324,221732,3339828,8
3,33,642653,88,616,1589357,3341910,8
2,10,119550,40,80,496315,1360305,7
1,6,258828,18,414,334410,1857492,8
2,13,135167,19,143,558168,1608379,14
2,16,360960,16,776,856240,6053352,13
2,20,579810,10,460,1717880,2974880,9
3,32,642613,42,970,1116416,10438346,6
2,23,797042,103,931,1714592,4765968,1
3,36,424716,84,1044,637956,3097224,1
2,15,411517,67,157,1118835,2879265,12
2,11,181137,44,176,521851,4309409,12
2,23,259900,57,230,2063330,3809823,9
2,16,163448,56,456,409688,2840576,13
2,13,376629,65,526,503490,1219107,3
3,34,586511,68,45,571676,7581830,6
3,32,254677,64,416,1108245,4168970,12
3,37,246666,61,826,2247281,5379800,6
1,4,297468,20,220,791444,587452,8
3,37,482048,98,1159,2155570,2470860,13
2,8,172836,16,264,279600,3395844,12
2,9,144778,45,103,882976,3218292,11
3,29,458219,96,232,1343889,8890307,12
1,3,219846,3,246,243600,2282298,13
1,6,201300,6,366,311394,4818840,7
2,11,214274,5,528,627335,624882,13
2,10,289130,5,125,687785,4004995,5
3,30,660400,80,770,1955940,1145930,11
3,32,583146,85,320,1228533,3686858,10
2,11,133831,38,473,788755,2782719,5
3,30,371680,90,680,1409060,4937020,2
3,28,554876,18,784,885826,8083068,1
1,3,222825,6,9,522459,2359566,11
2,18,606699,36,621,1584576,5987304,3
2,22,375782,88,1012,613184,5079855,4
3,29,473676,19,241,832686,7141801,6
3,25,481191,58,25,1562700,1963358,9
2,22,500830,11,121,2180090,4991327,4
2,19,220314,47,313,1358082,8081716,14
3,37,278955,49,629,854453,10161840,12
2,9,173821,27,211,299529,4292698,3
3,38,798304,76,1026,1167689,1034258,2
1,2,93632,8,8,353298,104104,12
3,27,205443,45,558,1018494,8398323,6
2,19,635759,76,475,1056685,4279636,3
3,34,658376,90,532,1456628,7908218,3
2,20,715270,60,420,1321550,2073330,4
2,13,285285,39,260,655128,1460693,15
1,6,360240,30,420,300336,5818428,15
2,9,333702,27,252,490063,3744126,15
3,30,610460,30,770,1741740,9611120,2
2,10,312265,25,430,256570,352930,14
2,7,194649,17,280,410420,421550,13
3,26,564018,34,364,1525992,5424544,8
2,16,529736,80,504,518360,2621336,4
3,34,229862,22,952,679966,6083268,11
2,15,555645,67,300,1493902,6573142,11
2,10,232855,25,165,504985,3921515,9
3,38,293904,88,671,808931,2293224,1
3,34,293680,45,702,1152056,3473213,6
3,29,421959,67,812,1552669,7379630,3
2,23,809519,115,1000,1106346,5380298,10
3,35,567851,35,1085,2216876,2938203,10
2,18,301752,9,153,603171,3566448,13
3,28,687409,37,550,531178,6718488,7
3,27,439371,45,153,597033,4995126,8
3,25,534575,33,316,1446650,7650933,7
2,21,348253,63,420,622996,2772693,10
3,36,281496,84,588,1979700,3591732,11
3,39,556374,91,1183,1680237,11481392,13
2,23,357615,57,195,911973,6160975,9
1,2,99412,8,2,209106,1331620,11
2,15,546982,67,435,498780,4721287,3
3,26,187546,60,130,1533124,4810589,10
2,24,850500,72,240,1848096,7222848,14
2,23,825102,11,885,778205,4090688,4
3,28,302670,65,438,1022737,6466301,12
2,19,315362,38,399,541452,2120276,14
2,8,289100,8,256,432128,809884,13
3,34,426847,79,1099,1009324,2988543,3
2,21,287563,21,892,981666,8100550,5
1,5,166355,20,60,343145,2590090,9
2,7,95336,17,252,349510,1497734,15
3,36,883224,108,588,818424,11058552,2
2,23,362353,115,253,695623,2225158,6
2,7,97300,7,70,481750,1885569,12
3,26,544656,34,736,1612034,8663416,12
2,12,353916,30,438,897294,3114348,3
2,22,365365,11,968,1393029,1431276,11
2,19,220533,76,589,1351831,7873856,14
2,24,319476,108,1152,1119552,10719780,3
3,31,635190,10,62,1893500,9416983,15
2,12,178560,12,582,732084,3261180,13
2,23,501204,46,644,1109209,10825617,6
2,21,511339,42,630,1825761,8554780,2
3,40,659600,93,1120,1589893,3639226,15
2,15,462555,45,442,666900,4355077,10
2,24,682716,108,864,2149656,10815708,3
1,1,66908,6,95,110793,146219,4
2,24,633924,12,324,1149792,4612872,11
2,14,196497,14,623,1049482,4374727,15
3,33,604131,88,1089,960971,3555398,15
3,36,560664,60,648,1130976,6573084,13
2,18,470124,72,279,625023,6282801,12
2,10,268810,10,475,851045,704965,4
3,37,769896,12,382,763939,10253575,3
2,19,216087,47,123,1126605,3502308,11
2,18,193770,9,288,1196460,2311353,7
1,5,301095,10,455,921515,2580260,9
3,40,632293,80,840,709160,3864346,13
3,36,716604,84,468,1294524,5458740,10
2,18,375291,90,837,973215,914103,13
2,22,430265,33,671,888558,6171803,5
2,24,599496,36,1176,1747944,1952208,8
2,19,560728,9,893,535458,7807489,9
2,23,794224,80,563,2265224,3681368,7
3,28,377122,93,84,856380,3066522,11
3,25,184433,50,116,909083,7801125,4
1,5,231625,10,215,738340,332985,7
3,25,591133,16,808,1359808,1586858,2
2,14,500654,7,357,1155784,5877795,10
2,13,455689,13,318,1254701,1174277,8
2,8,206420,28,240,356440,3224044,5
1,4,159148,4,204,387404,1647200,5
3,28,412738,46,494,1769170,4754540,1
2,18,584415,9,774,1371915,630387,3
3,26,438871,34,572,1515193,3809338,4
3,25,545975,50,350,667858,1657250,6
3,27,256869,18,252,1091628,5243436,11
1,4,159956,24,316,555944,3338104,6
2,17,203515,51,620,675036,7159320,1
2,17,245726,76,476,1579801,6805576,5
2,9,256945,27,198,371200,1032615,10
2,20,503000,80,530,868380,9160350,6
1,4,125084,28,280,215936,1519796,7
3,36,461832,120,996,1770804,2425344,14
3,30,291370,60,200,692020,6280970,15
2,20,650580,60,520,1464200,661300,5
3,36,404796,72,372,2162604,10139040,9
3,32,622112,42,992,1761930,945728,15
2,22,760496,11,407,1120405,7238044,12
3,35,340865,93,81,997476,4372141,4
2,7,125573,31,182,499996,1033994,15
1,1,33853,5,8,63327,886398,6
2,12,352338,30,300,942138,2670918,14
2,19,270873,95,123,1218166,8917412,12
2,14,346059,70,21,787052,5115684,6
1,6,394134,42,270,530088,1099254,8
3,32,337141,21,586,963893,7249642,5
1,4,242580,24,212,467292,1199268,13
2,15,174795,67,277,884212,5248867,11
1,3,96177,15,156,420054,2266671,9
1,4,103844,16,376,753444,2173336,14
3,33,294338,11,33,2051390,983279,3
2,11,232914,5,280,977245,2132878,3
2,21,296887,63,514,1600693,616738,15
3,25,533941,50,633,1580208,3043175,10
3,33,794134,99,1001,707630,9837751,7
2,23,818144,46,437,1222668,4958627,2
2,21,589186,42,1008,636667,7207630,9
3,30,327990,30,880,1916890,6963160,6
3,27,233685,45,81,595017,616617,13
2,16,263016,72,128,457544,7756072,1
2,17,629790,34,663,522418,3843266,10
2,13,282405,13,422,495378,2715329,3
2,10,260560,45,125,984970,1926125,9
3,25,401958,75,566,1288308,1542441,11
2,24,682392,36,264,685776,11331444,7
2,12,319200,54,144,351900,3437706,15
2,8,153844,28,248,484908,2303504,9
3,35,368690,116,175,2162440,3036156,1
3,40,891106,53,160,1549946,1276560,6
2,14,306061,63,175,1140167,6535858,2
2,17,584638,68,484,618273,2723867,15
3,36,866724,60,648,1355076,4531104,12
2,7,147644,17,136,531072,2671368,13
3,36,380688,96,612,2196588,8461668,15
3,36,849036,84,1188,2068800,6534168,5
1,6,156612,6,108,1037142,4644864,8
1,6,176274,18,330,845796,2378928,11
2,16,278224,16,360,1343472,7713352,2
